Codigo,E. coli,Cloro Residual Livre(mg/L),Turbidez(uT)
S430430000001,Ausente,1.7,0.3
C430430000010,Ausente,0,0.3
C430430000028,Ausente,0.4,0.3
C430430000029,Ausente,0,0.7
C430430000030,Ausente,0,0.4
C431505000013,Ausente,0,0.2
C431505000012,Ausente,0,0.2
C431505000011,Presente,0,0.8
C431505000003,Presente,0,0.1
C431505000001,Ausente,0,0.1
C431505000015,Ausente,0,0.1
C431505000004,Ausente,0,0.2
C431505000002,Presente,0,0.2
C431930000033,Presente,0,0.9
C431930000039,Ausente,0.13,0.5
C431930000040,Ausente,0.36,0.5
C431930000041,Ausente,0.71,0.4
C431930000034,Ausente,0,5
C431930000037,Ausente,0.11,0.5
C431930000038,Ausente,0.04,0.3
C431301000034,Ausente,0.1,0.8
C431301000022,Ausente,1,0.7
C431301000025,Ausente,0.5,1.8
C431301000028,Ausente,1.2,0.4
C431301000018,Ausente,0.4,0.4
C431301000027,Ausente,1.1,0.3
C431301000015,Ausente,0.2,0.4
C431301000016,Ausente,1.2,0.3
C431301000039,Ausente,0,0.3
C431301000024,Ausente,1,0.4
C431301000023,Ausente,2.5,0.3
C431301000033,Ausente,0.7,0.7
C431301000017,Ausente,0.7,0.2
C430673000012,Presente,0,0.3
S430673000001,Ausente,1.16,0.1
S430673000001,Presente,0,0.1
S430673000001,Ausente,0.72,0.2
S430673000001,Ausente,0.96,0.1
C430673000016,Ausente,0,0.2
S430673000001,Ausente,0.74,0.2
S430673000001,Ausente,0.6,0.1
S430673000001,Ausente,0.89,0.1
S431720000001,Ausente,1.43,0.2
S431720000001,Ausente,1.02,0.1
S431720000001,Ausente,0.52,0.1
S431720000001,Ausente,0.11,0.1
S431720000001,Ausente,0.78,0.1
C431720000010,Presente,0,0.2
S431720000001,Ausente,1.12,0.2
C431720000014,Ausente,0,0.2
S431720000001,Ausente,1.03,0.1
S431720000001,Ausente,0.82,0.1
C432180000003,Ausente,0,0.4
C432180000006,Presente,0,3.3
C432180000022,Ausente,0,0.5
C432180000009,Ausente,0,0.1
C431342000003,Ausente,0,0.4
C431342000012,Presente,0,0.8
C431342000009,Presente,0,0.5
C431342000021,Ausente,0,0.8
C431342000029,Ausente,0,0.6
C431342000011,Ausente,0,0.4
C431342000007,Ausente,0,0.6
C431342000008,Ausente,0,0.4
C431342000025,Presente,0,0.5
C431342000026,Ausente,0,0.6
C431342000001,Ausente,0,0.2
C431342000028,Ausente,0,0.5
S431849000001,Ausente,0.26,0.1
C431849000004,Ausente,0.28,0.4
C431849000006,Ausente,0.46,0.2
C431849000013,Ausente,0.21,0.1
C431849000007,Presente,0.17,0.1
C431849000011,Ausente,0,0.1
C431500000017,Ausente,0,0.6
C431500000030,Não realizada,0,0.5
C431500000037,Ausente,0,0.4
C431500000003,Ausente,0,0.3
C431500000012,Ausente,0,0.5
C431500000016,Ausente,0,0.4
C431500000002,Ausente,0,0.7
C431500000019,Ausente,0,0.6
I431040000038,Presente,0,0.3
I431040000033,Ausente,0,0.1
C431040000001,Presente,0,0.1
I431040000037,Ausente,0,0.1
I431040000107,Ausente,0,0.5
C431040000019,Ausente,0,0.6
C431040000022,Ausente,0,0.1
S431040000001,Ausente,1.36,0.1
C431040000023,Ausente,0,0.5
C431040000005,Ausente,0,0.1
S431040000001,Ausente,1.76,0.4
C431040000006,Presente,0,0.1
C431040000020,Ausente,0,0.5
C431040000031,Ausente,0,0.1
C431040000025,Presente,0,0.7
S431040000001,Ausente,0.38,0.1
I431040000010,Presente,0,0.1
S431040000001,Ausente,1.41,0.2
C431790000026,Ausente,0,0.8
C431790000022,Presente,0,0.2
C431790000001,Ausente,0,0.1
C431790000009,Ausente,0,0.2
C431790000038,Ausente,0,0.4
C431790000018,Ausente,0,0.2
C431790000004,Presente,0,0.1
S431790000001,Ausente,0.53,0.2
C431790000026,Ausente,0,0.2
C431790000001,Presente,0,0.3
C431790000021,Ausente,0,0.1
S431790000001,Ausente,0.54,0.1
C432032000002,Ausente,0,0.1
C432032000003,Ausente,0,0.4
C432032000013,Ausente,0,0.2
C432032000014,Ausente,0,0.2
C431720000003,Presente,0,0.6
C431720000010,Ausente,0,0.2
C431720000003,Ausente,0,0.4
C431720000010,Ausente,0,0.1
S431720000001,Ausente,1.08,0.1
S431720000001,Ausente,1.03,0.1
C430220000015,Presente,0,0.3
C430220000028,Ausente,0,0.2
C432032000019,Presente,0,0.2
C430220000014,Ausente,0,0.2
C432032000025,Ausente,0,0.1
C430220000032,Ausente,0,0.1
C430220000030,Ausente,0,0.1
C430220000025,Ausente,0,0.1
C430220000026,Ausente,0,0.1
C430220000027,Presente,0,0.2
C430220000012,Presente,0,0.6
C430220000013,Ausente,0,0.3
C432230000018,Ausente,0,0.1
C432230000010,Ausente,0,0.2
C432230000005,Ausente,0,0.1
C432032000008,Ausente,0,0.6
C432180000037,Ausente,0,0.3
C432180000009,Ausente,0,0.1
C432230000025,Ausente,0,0.1
C432230000020,Ausente,0,0.1
C432230000004,Ausente,0,0.1
C432230000006,Ausente,0,0.1
C432230000008,Presente,0,0.2
C432230000014,Presente,0,0.3
C430030000022,Ausente,0,0.1
C430030000005,Presente,0,0.1
C430430000006,Presente,0,2.6
C430030000011,Ausente,0,0.1
S430030000001,Ausente,0.88,0.2
S430030000001,Ausente,0.76,0.4
C430030000007,Presente,0,0.3
C430030000001,Ausente,0,0.6
S430030000001,Ausente,0.76,0.3
S430030000001,Ausente,0.24,0.2
S430430000001,Ausente,1.25,0.1
C430430000018,Ausente,0.3,0.1
S430430000001,Ausente,1.35,0.2
S430430000001,Ausente,1.3,0.3
C430430000008,Ausente,0.25,0.2
C430430000025,Presente,0,0.4
S430430000001,Ausente,1.32,0.3
C430430000024,Ausente,0,0.2
S430430000001,Ausente,1.35,0.3
S430430000001,Ausente,1.27,0.2
C430430000009,Ausente,0.3,0.2
C430430000021,Ausente,0.37,0.2
C430430000004,Ausente,0,0.3
C431505000023,Ausente,0.2,0.4
C431505000019,Ausente,0.2,0.1
C431505000020,Ausente,0.2,0.2
C431505000018,Ausente,0.23,0.2
C431505000021,Ausente,0.21,0.1
C431505000016,Ausente,0.2,0.2
C431505000014,Ausente,0.21,0.2
C431505000017,Ausente,0.22,0.3
C430030000009,Ausente,0,0.1
C430030000020,Ausente,0,0.1
C430030000012,Presente,0,0.1
C430030000010,Ausente,0,0.4
C430030000002,Ausente,0,0.8
C430030000006,Presente,0,0.1
C430030000023,Presente,0,1.2
C430030000008,Ausente,0,0.4
C430030000004,Ausente,0,0.6
S432210000001,Ausente,1.92,0.2
S432210000001,Ausente,1.85,0.1
S432210000001,Ausente,1.95,0.4
S432210000001,Ausente,0.8,0.1
S432210000001,Ausente,1.95,0.3
S432210000001,Ausente,1.87,0.2
I432210000003,Ausente,0,0.2
C432210000016,Ausente,0,0.1
C432210000002,Presente,0,0.1
I432210000003,Presente,0,0.6
S430370000001,Ausente,0.1,0.3
C430220000023,Presente,0,0.1
I430370000032,Ausente,0,0.5
C430370000004,Ausente,0,0.3
C430220000024,Ausente,0,0.1
S430370000001,Ausente,0.39,0.3
C430220000009,Ausente,0,0.1
S430370000001,Ausente,0.28,0.1
S430370000001,Ausente,0.89,0.1
C430370000024,Presente,0,0.4
S430370000001,Ausente,0.12,0.3
C430370000030,Ausente,0,0.4
C430370000039,Ausente,0,0.4
C430370000032,Ausente,0,0.1
C430370000033,Ausente,0,0.1
C430370000005,Ausente,0,0.4
C430370000020,Presente,0,1.4
C430370000013,Presente,0,0.3
C430370000042,Presente,0,2.4
S430370000001,Ausente,0.12,0.4
I430370000031,Presente,0,0.5
C430370000006,Presente,0,0.3
C430370000017,Ausente,0,0.4
C430370000018,Ausente,0,0.3
C430370000012,Ausente,0,0.6
C430370000022,Ausente,0,0.5
C430370000009,Presente,0,1
C430370000019,Presente,0,0.3
C430370000028,Ausente,0,0.3
C430370000038,Ausente,0,0.2
C430045000007,Presente,0,1.5
C430045000016,Presente,0.21,0.2
C430045000010,Ausente,0.17,0.2
C430045000015,Ausente,0.11,0.1
C430045000022,Presente,0.11,0.6
C430045000011,Ausente,0.16,0.4
C431507000014,Presente,0,0.1
C431507000013,Ausente,0,0.3
C431507000006,Ausente,0,0.4
C431507000008,Ausente,0.15,0.3
C431507000012,Presente,0,0.2
C431507000009,Ausente,0.15,0.2
C430960000025,Ausente,0,0.3
C430960000008,Ausente,0,0.2
C430960000004,Presente,0,0.04
C430960000002,Ausente,0,0.3
C430960000037,Ausente,0,0.3
C430960000028,Presente,0,0.2
C430960000029,Ausente,0,0.2
C431342000022,Ausente,0,0.2
C430960000022,Ausente,0,0.4
C431342000014,Ausente,0,0.4
C431342000006,Ausente,0,0.4
C431342000002,Ausente,0,0.1
C430960000013,Ausente,0,0.1
C430960000009,Ausente,0,0.4
S430960000001,Ausente,1.2,0.4
S430960000001,Ausente,1.2,0.2
C430960000014,Ausente,0,0.2
C430960000021,Ausente,0,0.2
