data,acidentes
2023-12-21,39
2023-12-22,46
2023-12-23,36
2023-12-24,36
2023-12-25,16
2023-12-26,25
2023-12-27,26
2023-12-28,28
2023-12-29,29
2023-12-30,24
2023-12-31,20
