IBGE;LONG;LAT
431065;-50,1018;-29,5002
431070;-52,4524;-27,3833
431075;-53,5809;-29,5195
431080;-51,1596;-29,5942
431085;-53,2844;-27,6312
431087;-53,0566;-29,0338
431090;-52,5432;-27,7285
431100;-53,3775;-32,5636
431110;-54,6938;-29,4973
431112;-50,358;-28,8806
431113;-54,2199;-29,2901
431115;-54,116;-28,6456
431120;-53,6831;-29,2264
431123;-53,017;-29,4941
431127;-52,8578;-28,5695
431130;-51,5272;-28,2089
431125;-52,775;-29,2243
431140;-51,9678;-29,4655
431142;-53,1814;-27,6908
431150;-53,8985;-30,812
431160;-53,0749;-27,5965
431162;-51,2082;-29,6008
431164;-51,2019;-29,4626
431171;-56,0636;-29,1461
431170;-51,6675;-27,5681
431173;-49,9365;-29,2106
431175;-55,4917;-29,5805
431177;-50,2034;-29,6791
431179;-51,5556;-29,5553
431180;-52,1968;-28,4485
431190;-51,9133;-27,4614
431198;-51,5873;-30,3536
431200;-52,1489;-27,3526
431205;-52,0978;-29,3291
431210;-54,4524;-29,5694
431213;-52,1973;-28,2758
431215;-52,133;-29,5248
431217;-54,6168;-28,2558
431220;-51,8017;-27,6349
431225;-52,0513;-30,1224
431230;-53,686;-27,4961
431235;-52,0761;-28,6532
431237;-50,7828;-28,6851
431238;-51,6316;-29,1599
431240;-51,4613;-29,6881
431242;-52,6928;-28,6934
431244;-49,9328;-29,363
431245;-52,6578;-31,5822
431247;-51,0801;-29,5393
431250;-50,9192;-31,1082
431260;-51,8661;-29,1656
431261;-51,1846;-28,3189
431262;-51,7687;-28,3303
431265;-52,8193;-28,4599
431267;-52,4624;-28,5362
431270;-52,7762;-27,3547
431275;-52,1671;-28,6766
431280;-51,7422;-28,6582
431290;-51,7032;-28,7235
431295;-52,9815;-27,988
431300;-52,018;-29,2165
431301;-54,1041;-27,6121
431303;-54,8359;-29,4046
431306;-50,9038;-29,5857
431308;-51,3068;-29,03
431310;-53,4706;-29,473
431320;-51,107;-29,3762
431330;-51,609;-28,7839
431333;-53,7069;-28,0826
431335;-51,4052;-28,9847
431337;-51,2752;-29,8486
431349;-53,1135;-27,9068
431339;-52,9551;-29,7363
431340;-51,1286;-29,6863
431342;-54,5034;-27,5784
431344;-53,1857;-27,5636
431346;-53,0641;-27,7481
431350;-50,2668;-29,8927
431360;-51,7616;-27,7033
431365;-50,5061;-30,2601
431370;-53,315;-27,9006
431380;-53,5555;-27,356
431390;-53,5003;-28,2927
431395;-52,3739;-30,1946
431400;-51,7821;-28,5996
431402;-53,1791;-29,7313
431403;-51,3989;-29,6394
431405;-50,8349;-29,6317
431406;-52,964;-29,4517
431407;-52,2788;-29,7458
431410;-52,4071;-28,2618
431413;-52,4224;-27,7041
431415;-51,7303;-29,5549
431417;-53,5872;-31,7336
431420;-52,8263;-31,8638
431430;-53,6565;-28,4216
431440;-52,3443;-31,7196
431442;-51,064;-29,4544
431445;-53,2147;-27,5117
431446;-51,1701;-27,8767
431447;-53,3386;-29,3354
431449;-53,6196;-27,2098
431450;-53,3846;-31,5806
431454;-514.503;-290.978
431455;-55,2003;-28,0453
431460;-53,1047;-31,4441
431470;-53,0589;-27,3315
431475;-51,6709;-29,4545
431477;-52,6754;-28,0618
431478;-52,4902;-27,657
431480;-51,2301;-29,6963
431490;-51,2287;-30,03
